countyname,state,numberofplans1,numberofplans2,countyssa,eligibles,totalenrollees,totalpenetration
SALEM ,VA ,1,0,49838,7008,16,.2283105
SCOTT ,VA ,2,2,49840,5760,1673,29.045139
SHENANDOAH ,VA ,1,0,49850,7729,14,.18113598
SMYTH ,VA ,2,2,49860,7590,83,1.0935441
SOUTHAMPTON ,VA ,1,1,49870,2401,21,.87463558
SPOTSYLVANIA ,VA ,1,0,49880,6317,25,.39575747
STAFFORD ,VA ,2,0,49890,6539,44,.67288578
STAUNTON CITY ,VA ,0,0,49891,7399,0,0
SUFFOLK CITY ,VA ,2,1,49892,7742,96,1.2399896
SURRY ,VA ,0,0,49900,1118,0,0
SUSSEX ,VA ,1,0,49910,2410,12,.49792531
TAZEWELL ,VA ,1,1,49920,11549,684,5.9225907
VIRGINIA BEACH CITY ,VA ,3,0,49921,47219,203,.4299117
WARREN ,VA ,0,0,49930,4694,0,0
WASHINGTON ,VA ,4,2,49950,9624,1121,11.647964
WAYNESBORO CITY ,VA ,0,0,49951,6131,0,0
WESTMORELAND ,VA ,1,0,49960,3549,11,.30994648
WILLIAMSBURG CITY ,VA ,0,0,49961,6171,0,0
WINCHESTER CITY ,VA ,0,0,49962,6392,0,0
WISE ,VA ,2,2,49970,9447,1763,18.662008
WYTHE ,VA ,2,1,49980,6687,52,.77762824
YORK ,VA ,2,0,49981,10719,67,.62505829
SAINT CROIX ,VI ,0,0,48010,6688,0,0
SAINT JOHN ,VI ,0,0,48020,6824,0,0
ADDISON ,VT ,0,0,47000,4885,0,0
BENNINGTON ,VT ,0,0,47010,7449,0,0
CALEDONIA ,VT ,0,0,47020,5295,0,0
CHITTENDEN ,VT ,0,0,47030,18976,0,0
ESSEX ,VT ,0,0,47040,1458,0,0
FRANKLIN ,VT ,0,0,47050,6347,0,0
GRAND ISLE ,VT ,0,0,47060,1189,0,0
LAMOILLE ,VT ,0,0,47070,3634,0,0
ORANGE ,VT ,0,0,47080,4599,0,0
ORLEANS ,VT ,0,0,47090,5277,0,0
RUTLAND ,VT ,0,0,47100,12534,0,0
WASHINGTON ,VT ,0,0,47110,10077,0,0
WINDHAM ,VT ,0,0,47120,7607,0,0
WINDSOR ,VT ,0,0,47130,11024,0,0
ADAMS ,WA ,1,1,50000,1665,20,1.2012012
ASOTIN ,WA ,1,1,50010,4543,117,2.5753908
BENTON ,WA ,2,1,50020,19989,406,2.0311172
CHELAN ,WA ,2,1,50030,8984,223,2.4821906
CLALLAM ,WA ,4,0,50040,18144,210,1.1574074
CLARK ,WA ,14,6,50050,48232,18239,37.815144
COLUMBIA ,WA ,1,1,50060,905,19,2.0994475
COWLITZ ,WA ,6,3,50070,16820,5367,31.908442
DOUGLAS ,WA ,1,1,50080,7823,118,1.5083728
FERRY ,WA ,1,1,50090,1300,32,2.4615386
FRANKLIN ,WA ,1,1,50100,5444,108,1.9838355
GARFIELD ,WA ,0,0,50110,562,0,0
GRANT ,WA ,2,1,50120,11420,238,2.0840631
GRAYS HARBOR ,WA ,4,2,50130,13792,429,3.1104989
ISLAND ,WA ,3,3,50140,12108,2203,18.194582
JEFFERSON ,WA ,3,2,50150,7174,182,2.5369389
KING ,WA ,15,2,50160,216418,41880,19.35144
KITSAP ,WA ,5,1,50170,32848,3719,11.321846
KITTITAS ,WA ,3,3,50180,4997,128,2.561537
KLICKITAT ,WA ,3,1,50190,3714,53,1.4270328
LEWIS ,WA ,6,4,50200,14422,2295,15.913188
LINCOLN ,WA ,1,1,50210,2391,33,1.3801757
MASON ,WA ,4,2,50220,11155,1823,16.342447
OKANOGAN ,WA ,1,1,50230,7507,153,2.0380979
PACIFIC ,WA ,3,2,50240,5595,140,2.5022342
PEND OREILLE ,WA ,1,1,50250,2510,46,1.8326694
PIERCE ,WA ,11,2,50260,95402,13077,13.70726
SAN JUAN ,WA ,2,1,50270,3096,333,10.755814
SKAGIT ,WA ,4,2,50280,19279,3615,18.750973
SKAMANIA ,WA ,3,3,50290,1179,134,11.365564
SNOHOMISH ,WA ,8,3,50300,72152,17689,24.516298
SPOKANE ,WA ,8,2,50310,67309,2517,3.7394702
